Key	WorldX	WorldY	WorldZ	Classname	micFileName	Eventnumber	Posixtime	ImgX1	ImgY1	ImgX2	ImgY2
1	204984.192266	546024.294484	22.356649	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651452144.824114.mic	33236	2022-05-02 00:42:54.121714(utc)	1725	856	1905	916
2	204991.966696	546027.654866	22.150100	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651452144.824114.mic	33230	2022-05-02 00:42:53.521643(utc)	487	894	645	950
3	204984.100585	546027.060353	22.253465	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651462524.793505.mic	137076	2022-05-02 03:35:58.093240(utc)	1697	919	1847	971
4	203418.424162	547043.908452	23.110908	noParking	2205020940_M010C45L12G031_1846/01_camera/01/1651456404.748720.mic	75963	2022-05-02 01:54:06.846949(utc)	1514	308	1626	424
5	205262.111540	546162.871999	20.630848	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651460964.783863.mic	121348	2022-05-02 03:09:45.383130(utc)	1622	910	1792	956
6	204993.805342	546015.610234	22.197072	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651452144.824114.mic	33259	2022-05-02 00:42:56.421611(utc)	811	859	917	883
7	204987.883341	546797.934087	26.098719	Construction_yellow	2205020940_M010C45L12G031_1846/01_camera/01/1651455084.747869.mic	62935	2022-05-02 01:32:24.049013(utc)	1472	662	1610	782
8	202797.020109	545254.001531	53.358025	TrafficLight_pedestrian	2205020940_M010C45L12G031_1846/01_camera/01/1651457904.777934.mic	91003	2022-05-02 02:19:10.878421(utc)	1722	262	1856	530
9	203458.788176	547037.818914	19.615339	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651456404.748720.mic	76084	2022-05-02 01:54:18.947268(utc)	1540	762	1610	772
10	204989.392657	546014.661122	22.412383	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651452144.824114.mic	33263	2022-05-02 00:42:56.821587(utc)	1406	893	1542	929
11	205267.756438	546150.759786	23.151737	noStopping	2205020940_M010C45L12G031_1846/01_camera/01/1651460964.783863.mic	121402	2022-05-02 03:09:50.783087(utc)	1661	404	1797	524
12	203460.624235	547040.866155	19.622088	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651456464.748521.mic	76237	2022-05-02 01:54:34.248390(utc)	992	869	1068	887
13	203818.318938	545878.020894	52.698649	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651460484.772849.mic	116686	2022-05-02 03:01:59.172389(utc)	1128	770	1184	780
14	203138.744963	546236.821767	48.812478	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651456584.755200.mic	77702	2022-05-02 01:57:00.755653(utc)	1652	832	1728	848
15	204984.982583	546028.784597	22.273827	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651452144.824114.mic	33022	2022-05-02 00:42:32.722447(utc)	1465	908	1567	948
16	204716.952666	545962.945561	28.997310	Hole	2205020940_M010C45L12G031_1846/01_camera/01/1651461564.789060.mic	127296	2022-05-02 03:19:40.089444(utc)	208	924	372	970
